time_s,altitude_agl_m
0.0,0.0
0.0014625424704445232,0.0
0.0029250849408890465,-2.3665827156630354e-30
0.005850169881778093,1.8932661725304283e-29
0.008775254822667139,0.0
0.011700339763556186,2.0194839173657902e-28
0.013580485407931574,4.0389678347315804e-28
0.015460631052306962,0.0
0.01922092234105774,-1.2924697071141057e-26
0.022981213629808515,-7.754818242684634e-26
0.02674150491855929,3.101927297073854e-25
0.027772082134023882,0.0
0.028802659349488474,-4.1359030627651384e-25
0.030863813780417654,-3.308722450212111e-24
0.032924968211346835,1.1463246778475877e-06
0.03498612264227602,8.436089956376236e-06
0.038432563218047014,5.7443962873549026e-05
0.04187900379381801,0.0002014190106365277
0.045325444369589005,0.0005020073447212781
0.04877188494536,0.0010296058680978604
0.05019649524504215,0.0013316072593738681
0.051621105544724294,0.0016897304681151581
0.05304571584440644,0.0021086150383098357
0.055894936443770735,0.0031475171126089663
0.05874415704313503,0.004474526889282515
0.06159337764249932,0.0061153607667279175
0.06444259824186362,0.008106959666804414
0.06729181884122791,0.010499626689124852
0.0701410394405922,0.013347506375453122
0.07379806389649814,0.01774920073012254
0.07745508835240407,0.023055092207698635
0.08111211280831,0.02931827576088608
0.08639128648482318,0.04014529331686845
0.09167046016133636,0.05319778603205805
0.0953796077507216,0.0637693666841983
0.09760628992603457,0.07070052837690355
0.09983297210134753,0.07810516218756902
0.1014957810281824,0.08396029918094428
0.10315858995501725,0.09009918965080033
0.10482139888185212,0.09652057421652671
0.10814701673552184,0.11020326499749444
0.11147263458919156,0.12499576614658281
0.11479825244286128,0.14088462579246652
0.11972826089516084,0.16643890374729153
0.1246582693474604,0.19438373267729503
0.12958827779975995,0.22473102839273906
0.13944829470435907,0.2926892988101599
0.1493083116089582,0.37039257085547206
0.1591683285135573,0.4579007492195615
0.1742917794767388,0.6113393549857733
0.18941523043992028,0.7882669171826251
0.20453868140310177,0.9888972269573628
0.2224241572786375,1.2569645074482878
0.24030963315417325,1.5587436412959619
0.258195109029709,1.8945761904171832
0.27608058490524473,2.2647622057639865
0.3172925216295494,3.24983699856989
0.347108640132458,4.078600566881789
0.35064421470168294,4.184085605666041
0.3541797892709079,4.290961069573257
0.36125093840935774,4.507496661675191
0.3683220875478076,4.729608900249673
0.37539323668625746,4.957311599916181
0.39580323531305744,5.646037112175065
0.41621323393985743,6.381737444390012
0.4366232325666574,7.164718906242911
0.47564453882712987,8.794559354341516
0.5146658450876024,10.600591656849303
0.5536871513480749,12.585092638166998
0.5662879298221922,13.264373966888229
0.5788887082963096,13.962580533377206
0.5914894867704269,14.679785010216733
0.616532223140573,16.1618535888648
0.6415749595107191,17.719744147377128
0.6666176958808652,19.3539923383305
0.6916604322510113,21.065226298586367
0.7167031686211573,22.854118109294973
0.7417459049913034,24.72127246532517
