time_s,altitude_agl_m,AGL_ft
0,0,0
0.001356281,0,0
0.002712561,5.17E-26,1.69624E-25
0.005425122,0,0
0.008137683,3.31E-24,1.08559E-23
0.010850244,1.32E-23,4.34237E-23
0.012860419,5.29E-23,1.73695E-22
0.014870594,9.94E-07,3.26203E-06
0.018890943,3.98E-06,1.30481E-05
0.022911293,7.95E-06,2.60963E-05
0.026931643,1.19E-05,3.91444E-05
0.027872042,1.29E-05,4.21965E-05
0.028812441,1.38E-05,4.52486E-05
0.030693239,1.57E-05,5.13528E-05
0.032574036,1.92E-05,6.29873E-05
0.034454834,3.01E-05,9.87061E-05
0.037766225,9.63E-05,0.000315901
0.041077617,0.000263276,0.000863807
0.044389008,0.000589637,0.0019346
0.04867547,0.00134656,0.004418065
0.052961932,0.002638572,0.008657153
0.057248393,0.0046005,0.015094242
0.061534855,0.007344763,0.024098168
0.064718671,0.009965325,0.032696233
0.067902487,0.013161899,0.043184189
0.071086303,0.01701612,0.055829889
0.075112507,0.022943729,0.075278375
0.079138711,0.030137744,0.098881937
0.083164914,0.038670034,0.126876381
0.08933466,0.054506183,0.178834785
0.095504406,0.073891809,0.242439024
0.096114496,0.076009197,0.249386176
0.096724586,0.078164521,0.256457795
0.097334677,0.080358607,0.263656589
0.098554857,0.084866777,0.278447896
0.099775038,0.089539901,0.293780416
0.100995218,0.094383088,0.309670912
0.102864624,0.102336356,0.335765583
0.10473403,0.110688467,0.363168862
0.11295127,0.151198198,0.496081288
0.118221255,0.181148759,0.59434908
0.12349124,0.214171009,0.702695079
0.128761226,0.250274522,0.821150707
0.139301196,0.331801979,1.088642292
0.149841167,0.425838782,1.397177043
0.160381138,0.532468671,1.747029709
0.174428094,0.694319767,2.278063156
0.18847505,0.878942628,2.883810761
0.202522006,1.086530134,3.564905369
0.220107355,1.378982418,4.524441312
0.237692703,1.707998768,5.603943959
0.255278052,2.073940035,6.804597254
0.2728634,2.477134916,8.127479658
0.275258857,2.534957933,8.317196978
0.279140145,2.631040021,8.632442308
0.283021432,2.728954442,8.953699526
0.290784007,2.928452002,9.608251018
0.298546582,3.135295529,10.28690463
0.306309157,3.349502645,10.98971818
0.333991567,4.173737969,13.69403428
0.361673977,5.092885643,16.70975779
0.389356387,6.107936035,20.04013813
0.417038796,7.219789966,23.68813088
0.444721206,8.429311646,27.65657151
0.472403616,9.73737703,31.94833403
0.511331507,11.74507859,38.53560286
0.550259398,13.95202267,45.77658638
0.58918729,16.36069803,53.67945024
0.628115181,18.9735256,62.25213748
0.667043072,21.79280112,71.50218048
0.705970963,24.82096739,81.43759401
0.744898854,28.06066781,92.0670511
0.775599709,30.76654192,100.945024
0.800302589,33.04126873,108.4084027
0.825005469,35.40359375,116.1591911
0.849708349,37.85394923,124.1988074
0.874411229,40.39280951,132.528808
0.903663831,43.51449166,142.7710472
0.932916433,46.76196621,153.4260111
0.962169035,50.13593795,164.4960124
0.991421636,53.63688403,175.9826165
1.020674238,57.2652286,187.8872151
